aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,Label,
-0.02,0.04,1.01,-0.06,0.06,-0.12,-39,37,34,1,
-0.02,0.04,1.01,0,0,-0.12,-38,38,33,1,
-0.02,0.04,1.01,0.06,0.18,-0.12,-38,36,33,1,
-0.02,0.04,1.01,-0.06,0.12,-0.12,-39,40,31,1,
-0.02,0.04,1.01,0.06,0,-0.12,-36,38,30,1,
-0.02,0.04,1.01,0.12,0.12,-0.18,-36,37,32,1,
-0.02,0.04,1.01,-0.06,0.12,-0.18,-39,38,24,1,
-0.02,0.04,1.01,0,0.06,-0.06,-38,37,32,1,
-0.02,0.04,1.01,-0.06,0.12,-0.12,-38,41,29,1,
-0.02,0.04,1.01,-0.06,0.12,-0.24,-38,38,30,1,
-0.02,0.04,1.01,0,0.12,0,-37,41,34,1,
-0.02,0.04,1.01,-0.06,0.06,-0.06,-36,39,31,1,
-0.02,0.04,1.01,-0.06,0.18,-0.12,-36,39,29,1,
-0.02,0.04,1.01,0.06,0.12,-0.12,-38,41,30,1,
-0.02,0.04,1.01,0.06,0.06,-0.12,-37,37,34,1,
-0.02,0.04,1.01,-0.12,0.12,-0.18,-39,39,31,1,
-0.02,0.04,1.01,-0.12,0.12,-0.12,-39,38,34,1,
-0.02,0.04,1.01,-0.06,0,-0.12,-37,36,32,1,
-0.02,0.04,1.01,-0.06,0,-0.12,-37,39,31,1,
-0.02,0.04,1.01,-0.18,0,-0.18,-37,37,35,1,
-0.02,0.04,1.01,0,0.06,-0.06,-36,38,32,1,
-0.02,0.04,1.01,0,0.06,-0.06,-38,39,31,1,
-0.02,0.04,1.01,0.06,0.12,-0.18,-36,38,34,1,
-0.02,0.04,1.01,0.06,0.12,0,-36,37,28,1,
-0.02,0.04,1.01,0.06,0.06,-0.12,-39,38,33,1,
-0.02,0.04,1.01,0,0,-0.18,-35,38,34,1,
-0.02,0.04,1.01,0.06,0,-0.12,-39,38,36,1,
-0.02,0.04,1.01,-0.06,0,-0.18,-39,39,31,1,
-0.02,0.04,1.01,-0.06,0.12,-0.12,-38,38,31,1,
-0.02,0.04,1.01,0.12,0.06,-0.12,-37,38,34,1,
-0.02,0.04,1.01,-0.06,0.18,-0.06,-39,38,36,1,
-0.02,0.04,1.01,0.06,0.12,-0.06,-38,38,29,1,
-0.02,0.04,1.01,0.06,0.12,-0.12,-39,39,41,1,
-0.02,0.04,1.01,0,0,-0.06,-39,38,32,1,
-0.02,0.04,1.01,-0.06,0.12,-0.18,-36,39,29,1,
-0.02,0.04,1.01,-0.06,0.12,-0.24,-36,42,32,1,
-0.02,0.04,1.01,-0.06,0.06,-0.18,-37,38,35,1,
-0.02,0.04,1.01,0,0.06,-0.12,-39,36,29,1,
-0.02,0.04,1.01,0,0.06,-0.12,-39,39,36,1,
-0.02,0.04,1.01,-0.06,0.12,-0.06,-39,38,32,1,
-0.02,0.04,1.01,0,0,-0.12,-38,36,33,1,
-0.02,0.04,1.01,0,0.18,-0.12,-40,39,31,1,
-0.02,0.04,1.01,0,0.12,-0.12,-40,36,34,1,
-0.02,0.04,1.01,0,0.12,-0.12,-38,38,32,1,
-0.02,0.04,1.01,-0.06,0.06,-0.18,-38,38,35,1,
-0.02,0.04,1.01,0.06,0.06,-0.12,-36,39,33,1,
-0.02,0.04,1.01,-0.06,0.12,-0.24,-39,38,32,1,
-0.02,0.04,1.01,0,0.24,-0.12,-37,38,29,1,
-0.02,0.04,1.01,-0.06,0,-0.18,-38,38,30,1,
-0.02,0.04,1.01,0,0.12,-0.18,-38,38,31,1,
-0.02,0.04,1.01,-0.06,0.06,-0.24,-39,39,31,1,
-0.02,0.04,1.01,0,0.06,-0.18,-37,40,29,1,
-0.02,0.04,1.01,0.06,0,-0.06,-39,39,32,1,
-0.02,0.04,1.01,-0.12,0,-0.12,-40,40,32,1,
-0.02,0.04,1.01,-0.12,0.06,-0.12,-41,39,30,1,
-0.02,0.04,1.01,0,0,-0.06,-39,40,35,1,
-0.02,0.04,1.01,0.06,0.06,-0.12,-36,41,36,1,
-0.02,0.04,1.01,0,0,-0.12,-37,38,35,1,
-0.02,0.04,1.01,0,0.12,-0.24,-37,39,34,1,
-0.02,0.04,1.01,0.06,0.18,-0.18,-38,37,30,1,
-0.02,0.04,1.01,-0.06,0.12,-0.12,-38,37,29,1,
-0.02,0.04,1.01,0.12,0.12,-0.06,-38,40,33,1,
-0.02,0.04,1.01,0.06,0.24,-0.24,-40,39,31,1,
-0.02,0.04,1.01,0,0.12,-0.12,-38,38,34,1,
-0.02,0.04,1.01,0.06,0.12,-0.18,-39,37,27,1,
-0.02,0.04,1.01,0,0.18,-0.12,-40,39,31,1,
-0.02,0.04,1.01,0.12,0.31,0,-36,37,31,1,
-0.02,0.04,1.01,-0.06,0.06,0,-38,41,30,1,
-0.02,0.04,1.01,0,0,-0.18,-37,38,40,1,
-0.02,0.04,1.01,0,0.12,-0.18,-38,37,31,1,
-0.02,0.04,1.01,-0.06,0.18,-0.12,-37,39,32,1,
-0.02,0.04,1.01,0,0.18,-0.18,-38,38,33,1,
-0.02,0.04,1.01,0,0.31,-0.18,-38,37,30,1,
-0.02,0.04,1.01,0.43,0.67,0.06,-36,36,31,1,
-0.02,0.04,1.01,0.12,0.37,-0.18,-39,40,33,1,
-0.02,0.04,1.01,0.12,0.18,-0.12,-38,37,34,1,
-0.02,0.04,1.01,0,0.12,-0.18,-37,39,29,1,
-0.02,0.04,1.01,0,0.12,-0.18,-38,35,31,1,
-0.02,0.04,1.01,-0.06,0.12,-0.24,-39,38,35,1,
-0.02,0.04,1.01,0.06,0.12,-0.18,-38,41,28,1,
-0.02,0.04,1.01,0,0.12,-0.18,-37,37,33,1,
-0.01,0.06,0.98,-2.75,-0.43,3.78,-37,40,29,1,
-0.01,0.03,1.01,-0.31,1.16,-0.85,-40,39,35,1,
-0.01,0.03,1.01,0.67,0.31,-0.31,-37,39,33,1,
-0.01,0.03,1.01,-0.49,-0.06,0.06,-38,38,32,1,
-0.01,0.03,1.01,0.31,0.12,-0.12,-36,37,32,1,
-0.01,0.03,1.01,-0.55,0.67,-1.77,-39,37,32,1,
0,0.03,1.01,-0.31,0.24,-0.06,-36,38,38,1,
-0.01,0.03,1.01,-0.67,0.92,0.06,-38,38,31,1,
-0.01,0.03,1.01,0.24,0.67,1.04,-37,39,33,1,
0,0.03,1.01,0.18,0,-0.24,-39,37,34,1,
0,0.03,1.01,0.24,0.31,-0.06,-38,38,30,1,
0,0.03,1.01,0.61,0.18,-0.61,-37,37,33,1,
0,0.03,1.01,-0.06,0.12,-0.49,-39,38,31,1,
0,0.03,1.01,-0.37,0.18,1.16,-36,38,32,1,
0,0.03,1.01,-0.06,-0.06,0,-38,35,35,1,
0,0.04,1.01,-3.23,-0.67,-1.22,-38,36,33,1,
0,0.04,1.01,-0.73,-0.37,-4.76,-37,38,31,1,
-0.01,0.06,1,1.46,-0.06,-0.61,-38,38,33,1,
0,0.03,1.01,0.67,0.49,-1.71,-38,37,34,1,
0,0.03,1.01,0.49,0.85,0.18,-37,39,32,1,
0,0.03,1.01,0.49,0.06,-0.24,-39,38,34,1,
0,0.03,1.01,2.81,1.59,0.12,-39,38,28,1,
0,0.02,1.01,0.31,-0.37,0.85,-39,37,34,1,
0,0.03,1.01,-3.72,-2.56,0.67,-38,39,36,1,
0,0.03,1.02,-6.41,-1.04,0.24,-38,39,36,1,
-0.02,0.04,1.01,-2.56,0.49,-10.62,-37,37,33,1,
0,0.03,1.01,-0.06,-0.12,-0.12,-37,38,35,1,
-0.01,0.03,1.01,0.37,0.12,-1.46,-38,39,33,1,
0,0.03,1.01,0.37,-0.18,-4.03,-36,37,33,1,
0,0.03,1.01,0.37,-0.49,-7.63,-39,38,35,1,
-0.01,0.03,1.01,-0.06,-0.24,-4.88,-36,39,33,1,
0,0.03,1.01,0,-0.31,-6.16,-35,38,31,1,
0,0.03,1.01,0,-0.06,-4.03,-36,41,29,1,
0,0.03,1.01,0.06,-0.37,-9.09,-36,36,35,1,
-0.01,0.03,1.01,0.18,-0.98,-19.78,-34,36,27,1,
0,0.03,1.01,-0.06,-0.31,-11.29,-35,38,30,1,
0,0.03,1.01,0.12,-0.12,-2.81,-35,36,33,1,
-0.01,0.03,1.01,-0.06,-0.06,-4.33,-33,39,31,1,
0,0.03,1.01,-0.06,-0.18,-5,-33,38,34,1,
-0.01,0.03,1.01,-0.06,-0.49,-9.89,-33,38,31,1,
-0.01,0.03,1.01,-0.06,-0.31,-10.74,-31,37,34,1,
0,0.03,1.01,-0.43,-0.49,-17.09,-33,37,35,1,
0,0.03,1.01,-0.18,-0.18,-7.39,-34,36,32,1,
0,0.03,1.01,-0.06,0.06,-0.92,-31,35,31,1,
-0.01,0.03,1.01,-0.06,0.06,0,-30,35,34,1,
-0.01,0.03,1.01,0,0.12,0.24,-31,38,34,1,
-0.01,0.03,1.01,0.06,0.12,0.24,-32,37,31,1,
0,0.03,1.01,-0.06,0.06,1.4,-32,36,29,1,
-0.01,0.03,1.01,-0.24,0.37,3.3,-33,39,32,1,
0,0.03,1.01,-0.12,0.43,9.46,-31,35,33,1,
0,0.03,1.01,-0.37,0.49,6.77,-32,36,35,1,
0,0.03,1.01,-0.06,0.55,9.83,-31,36,32,1,
-0.01,0.04,1.01,-0.31,0.55,5.62,-31,37,33,1,
0,0.04,1.01,-0.43,0.67,6.77,-36,38,26,1,
0,0.04,1.01,-0.37,0.43,0.31,-33,39,32,1,
0,0.04,1.01,0,0.31,8,-32,37,31,1,
0,0.03,1.01,0,0.73,10.74,-35,36,34,1,
0,0.04,1.01,-0.12,0.37,4.82,-34,36,33,1,
0,0.04,1.01,-0.12,0.73,8.18,-35,37,32,1,
-0.01,0.04,1.01,0,0.55,9.03,-35,36,34,1,
0,0.04,1.01,0,0.61,11.9,-38,38,31,1,
-0.01,0.04,1.01,0.06,0.79,13.37,-36,38,31,1,
0,0.04,1.01,0.12,0.73,13.18,-36,37,33,1,
0,0.04,1.01,0.06,0.85,12.82,-37,38,34,1,
0,0.03,1.01,0.06,0.92,13.61,-36,37,28,1,
0,0.04,1.01,0,0.73,11.17,-39,37,33,1,
0,0.04,1.01,0,0.73,12.39,-38,39,35,1,
0,0.03,1.01,0.24,0.92,15.99,-38,36,33,1,
0,0.04,1.01,0.06,0.55,8.79,-41,38,33,1,
0,0.03,1.01,0.06,0.61,9.4,-41,38,37,1,
-0.01,0.04,1.01,0.18,0.55,8.18,-40,37,29,1,
0,0.04,1.01,0,0.55,6.59,-40,38,29,1,
0,0.03,1.01,0.18,1.04,15.69,-40,36,31,1,
-0.01,0.04,1.01,0,0.67,9.64,-41,38,33,1,
-0.01,0.04,1.01,0.06,0.67,10.8,-42,39,31,1,
0,0.03,1.01,0.18,0.73,12.15,-44,35,28,1,
0,0.04,1.01,-0.06,0.49,8,-41,38,34,1,
0,0.03,1.01,0.12,0.55,8.24,-44,39,29,1,
0,0.03,1.01,-0.06,0.67,11.17,-42,38,33,1,
0,0.03,1.01,0.06,0.67,11.6,-45,38,33,1,
0,0.03,1.01,0.06,0.49,6.65,-43,36,36,1,
0,0.03,1.01,0.06,0.43,6.29,-45,38,34,1,
0,0.03,1.01,0.06,0.67,10.93,-44,37,30,1,
0,0.03,1.01,0.18,0.61,11.05,-46,36,33,1,
0,0.03,1.01,0,0.49,7.63,-46,37,32,1,
0,0.03,1.01,0.12,0.55,8,-46,38,33,1,
0,0.03,1.01,0.18,0.61,10.25,-48,37,31,1,
0,0.03,1.01,-0.06,0.18,5.37,-48,35,34,1,
0,0.03,1.01,0.12,0.61,9.22,-47,35,32,1,
0,0.03,1.01,0.06,0.55,9.09,-51,36,34,1,
0,0.03,1.01,0.12,0.67,11.41,-44,35,30,1,
0,0.03,1.01,0.31,0.67,12.08,-48,35,30,1,
0,0.03,1.01,0.31,0.73,11.41,-50,37,34,1,
0,0.03,1.01,0,0.55,9.4,-48,33,28,1,
0,0.03,1.01,0.06,0.55,9.95,-51,33,32,1,
0,0.03,1.01,0.12,1.1,16.24,-49,32,32,1,
0,0.03,1.01,0.12,0.73,12.82,-50,34,32,1,
0,0.03,1.01,0.12,0.92,14.16,-51,34,28,1,
0,0.03,1.01,0.24,0.92,16.17,-50,30,33,1,
0,0.03,1.01,0.43,1.16,16.17,-52,33,35,1,
0,0.03,1.01,0.43,1.22,18.55,-52,32,33,1,
0,0.03,1.01,0.24,1-Jan,21.97,-53,32,33,1,
0,0.03,1.01,1.04,1.22,21.18,-52,29,34,1,
0,0.02,1.01,0.12,1.04,17.4,-52,30,33,1,
0,0.02,1.01,0.37,0.98,14.89,-54,26,31,1,
0,0.02,1.01,0,0.85,16.17,-54,31,35,1,
0,0.02,1.02,3.42,1.04,17.64,-56,26,29,1,
0,0.02,1.01,0,0.79,17.52,-56,25,30,1,
0,0.02,1.01,0.31,0.85,16.24,-59,28,33,1,
0,0.01,1.01,0,0.73,15.93,-56,25,33,1,
0,0.02,1.01,0.31,0.55,15.32,-56,27,34,1,
0,0.02,1.01,0.55,0.73,15.2,-56,25,35,1,
0,0.01,1.01,0.55,0.61,16.17,-56,24,34,1,
0,0.01,1.01,0.79,0.79,17.58,-56,25,38,1,
0,0.01,1.01,0.12,0.49,11.72,-58,21,34,1,
0,0.01,1.01,0.61,0.55,10.56,-57,22,34,1,
0,0.01,1.01,0,0.43,9.28,-56,24,35,1,
0,0.01,1.01,0.24,0.18,5.55,-59,23,34,1,
0,0.01,1.01,0.24,0.73,17.4,-58,21,34,1,
0,0.01,1.01,0.55,0.79,21.42,-61,21,31,1,
0.01,0.01,1.01,1.46,0.79,18.13,-60,21,32,1,
0,0,1.01,0.12,0.49,14.65,-58,21,30,1,
0,0,1.01,0.61,0.79,21.61,-57,21,35,1,
0.01,0,1.01,0.37,0.61,18.62,-57,18,36,1,
0.01,0,1.01,0.06,0.67,23.19,-58,18,34,1,
0,0,1.01,0.61,0.67,20.69,-59,15,27,1,
0,0,1.01,0.43,0.49,13.73,-59,15,35,1,
0,0,1.01,0.24,0.43,11.29,-59,15,31,1,
0,0,1.01,0.18,0.43,13.79,-58,13,33,1,
0.01,0,1.01,0.12,0.31,14.34,-60,14,31,1,
0.01,0,1.01,0,0.67,21.91,-57,13,33,1,
0,0,1.01,0.43,0.43,14.04,-59,11,34,1,
0.01,0,1.01,0.06,0.31,13.55,-58,11,35,1,
0.01,0,1.01,0.18,0.49,17.27,-59,12,34,1,
0.01,0,1.01,0.06,0.24,9.22,-58,11,31,1,
0.01,0,1.01,0.06,0.12,6.53,-57,11,31,1,
0.01,-0.01,1.01,0.37,0.31,13.18,-58,11,38,1,
0,0,1.01,0.18,0.31,14.89,-60,11,33,1,
0,-0.01,1.01,0.79,0.49,19.1,-56,11,34,1,
0.01,-0.01,1.02,11.84,2.93,18.55,-58,8,32,1,
0.01,-0.01,1.01,0,0.24,22.09,-57,7,29,1,
0.01,-0.01,1.01,0.12,0.24,18.74,-56,7,37,1,
0,-0.01,1.01,0.37,0.24,22.89,-58,5,32,1,
0.01,-0.01,1.01,0,-0.06,24.6,-56,9,28,1,
0.01,-0.01,1.01,0.06,0.12,19.35,-54,2,34,1,
0.01,-0.01,1.01,0.18,0.24,8.18,-56,4,31,1,
0.01,-0.01,1.01,0,0.06,13.24,-55,3,31,1,
0.01,-0.01,1.01,0.24,0.24,16.54,-55,6,33,1,
0.01,-0.02,1.01,0.37,0.43,11.54,-53,2,31,1,
0,0,1.01,0.06,0.18,6.47,-52,2,32,1,
0.01,-0.01,1.01,-0.12,0.12,-0.31,-55,4,34,1,
0.01,-0.02,1.01,0.67,-0.18,1.95,-55,2,37,1,
0.01,-0.01,1.01,0,-0.12,0.06,-54,2,36,1,
0.01,-0.01,1.01,0.18,0.12,0.37,-55,3,30,1,
0.01,-0.02,1.01,0.79,-1.1,4.64,-53,5,33,1,
0.01,-0.02,1.01,-0.49,0.55,12.02,-53,4,34,1,
0.01,-0.02,1.01,0.18,0.37,1.34,-54,3,31,1,
0.01,-0.02,1.01,0.12,0.06,17.33,-55,3,38,1,
0.01,-0.01,1.01,-0.37,0.24,5.62,-53,3,34,1,
0.01,-0.02,1.01,1.16,0.55,9.4,-54,2,27,1,
0.01,-0.02,1.01,-0.31,-0.12,1.59,-51,1,33,1,
0.01,-0.02,1.01,-0.12,0.12,3.36,-53,2,32,1,
0.01,-0.02,1.01,0,-0.06,12.51,-52,3,33,1,
0.01,-0.02,1.01,-0.12,0.24,5.62,-52,1,33,1,
0.01,-0.02,1.01,-0.18,0.24,13.24,-52,2,31,1,
0.01,-0.02,1.01,-0.06,0.06,1.22,-52,2,32,1,
0.01,-0.02,1.01,-0.06,0.06,1.16,-52,2,33,1,
0.01,-0.02,1.01,0.06,0.12,5.98,-51,4,31,1,
0.01,-0.02,1.01,0.18,0,13,-52,0,32,1,
0.01,-0.02,1.01,0.12,0.06,14.28,-49,1,31,1,
0.01,-0.02,1.01,0.18,0.31,19.53,-52,1,36,1,
0.01,-0.02,1.01,0.31,0.06,18.49,-49,0,30,1,
0.01,-0.02,1.01,0.12,0.12,12.08,-51,0,33,1,
0.01,-0.02,1.01,0.31,0.24,19.84,-51,0,28,1,
0.01,-0.01,1.01,0.18,0,15.56,-47,1,34,1,
0.01,-0.02,1.01,0.18,-0.06,14.71,-47,0,30,1,
0.01,-0.02,1.01,0.18,0.06,14.1,-46,-2,33,1,
0.01,-0.02,1.01,0.06,0.18,6.84,-48,-2,37,1,
0.01,-0.02,1.01,0.49,0.24,8.12,-45,-1,34,1,
0.01,-0.02,1.01,0.24,0.06,9.03,-48,-2,28,1,
0.01,-0.02,1.01,0.06,0.12,2.56,-45,-1,33,1,
0.01,-0.02,1.01,0.06,0.12,7.32,-46,0,29,1,
0.01,-0.02,1.01,0.12,0.18,10.07,-46,-1,33,1,
0.01,-0.02,1.01,0.06,0.06,12.57,-46,-2,27,1,
0.01,-0.02,1.01,0.06,0.06,13.37,-46,0,25,1,
0.01,-0.02,1.01,0.12,0.06,7.75,-45,-2,30,1,
0.01,-0.02,1.01,0.18,0.06,14.16,-45,-3,33,1,
0.01,-0.02,1.01,0.12,-0.12,9.28,-42,0,38,1,
0.01,-0.02,1.01,0.12,0,8.06,-43,-1,33,1,
0.01,-0.02,1.01,0.24,0.18,20.2,-45,-3,29,1,
0.01,-0.02,1.01,0.06,0.12,19.1,-44,-3,32,1,
0.01,-0.02,1.01,0.18,-0.06,15.38,-42,-3,33,1,
0.01,-0.01,1.01,-0.06,0,5.37,-43,-2,34,1,
0.01,-0.02,1.01,0.06,0.12,13.31,-41,-1,31,1,
0.01,-0.02,1.01,0.18,0.12,12.88,-42,-2,35,1,
0.01,-0.02,1.01,0.12,0.12,11.11,-41,-3,31,1,
0.01,-0.02,1.01,0,0,10.99,-40,-2,28,1,
0.01,-0.02,1.01,0.18,0.24,16.6,-41,-2,33,1,
0.01,-0.02,1.01,0.06,0.12,5.68,-41,-1,30,1,
0.01,-0.02,1.01,-0.18,0.06,0.55,-40,-3,33,1,
0.01,-0.02,1.01,0.43,0.12,18.98,-38,-2,38,1,
0.01,-0.03,1.01,-0.49,-0.18,16.3,-39,-3,30,1,
0.01,-0.02,1.01,0.37,0.55,17.21,-41,-3,32,1,
0.01,-0.02,1.01,0.73,0.12,16.3,-38,-3,33,1,
0.01,-0.02,1.01,0.37,0,6.29,-39,-4,30,1,
0.02,-0.01,1.01,0.37,0,9.95,-39,-2,33,1,
0.01,-0.02,1.01,-0.06,0.43,6.23,-39,-3,33,1,
0.01,-0.03,1.01,0.06,0.31,11.66,-38,-2,31,1,
0.01,-0.01,1.01,-0.73,0.49,14.59,-38,-2,29,1,
0.01,-0.02,1.01,0.12,-1.1,2.75,-33,-2,36,1,
0.01,-0.01,1.01,-0.31,-0.18,3.48,-34,-2,31,1,
0.01,-0.02,1.01,0.18,0.24,16.54,-31,-1,31,1,
0.01,-0.01,1.01,-0.06,-0.31,5.31,-34,-3,30,1,
0.01,-0.02,1.01,0.24,-0.24,-0.67,-36,-2,27,1,
0.01,-0.01,1.01,-0.12,0,2.75,-35,0,28,1,
0.01,-0.03,1.01,-0.37,-0.24,6.16,-34,0,32,1,
0.01,-0.01,1.01,0.43,0.12,3.6,-36,-4,28,1,
0.01,-0.02,1.01,-0.12,0.31,5.37,-35,-3,31,1,
0.01,-0.02,1.01,0.79,0.24,0.67,-33,-2,27,1,
0.01,-0.02,1.01,0.61,0.12,-0.12,-34,-2,30,1,
0.01,-0.02,1.01,0.06,-0.06,0,-35,-1,32,1,
0.01,-0.02,1.01,0,-0.18,2.99,-34,-1,31,1,
0,-0.02,1.01,0.43,-0.12,14.4,-32,-2,30,1,
0.01,-0.02,1.01,0.31,0.12,16.24,-35,-2,33,1,
0.01,-0.02,1.01,0,0.12,6.84,-34,-2,27,1,
0.01,-0.02,1.01,0.18,-0.06,4.03,-34,-1,32,1,
0.01,-0.02,1.01,0.06,0.18,0,-33,-4,34,1,
0.01,-0.02,1.01,-0.06,0.06,0,-30,-4,29,1,
0.01,-0.02,1.01,0.18,0.06,5.49,-34,-3,34,1,
0.01,-0.02,1.01,0.18,0,15.01,-32,-2,30,1,
0,-0.03,1.01,0.37,-0.06,25.82,-32,-3,27,1,
0.01,-0.01,1.01,0.24,0,14.4,-31,-2,31,1,
0,-0.03,1.01,0.37,0,9.58,-32,-2,34,1,
0.01,-0.02,1.01,0.18,0.06,5.55,-31,0,31,1,
0.01,-0.02,1.01,0.12,0.12,6.9,-30,-1,29,1,
0.01,-0.03,1.01,0.12,0.06,3.54,-28,-3,30,1,
0.01,-0.03,1.01,0.18,0.12,6.59,-29,-1,34,1,
0.01,-0.03,1.01,0.24,0,7.81,-30,-1,31,1,
0.01,-0.02,1.01,-0.12,0.06,4.27,-28,-1,28,1,
0.01,-0.03,1.01,0.31,0.06,7.75,-28,-1,33,1,
0.01,-0.02,1.01,0.06,0.06,8.48,-29,-2,28,1,
0.01,-0.02,1.01,-0.18,0.12,5.86,-27,-2,27,1,
0.01,-0.02,1.01,0,-0.06,9.64,-28,-1,30,1,
0.01,-0.02,1.01,0.12,0,9.95,-28,-2,29,1,
0.01,-0.02,1.01,0.18,0.12,8.18,-27,0,31,1,
0.01,-0.03,1.01,0.31,-0.06,8.06,-24,-1,33,1,
0.01,-0.03,1.01,0.24,0.06,12.15,-26,-1,27,1,
0.01,-0.02,1.01,0.24,0,6.96,-25,0,30,1,
0.01,-0.03,1.01,0,0.06,3.78,-25,-1,34,1,
0.01,-0.02,1.01,0.18,0.06,5.31,-24,-1,27,1,
0.01,-0.02,1.01,-0.12,0.18,5.31,-24,1,31,1,
0.01,-0.02,1.01,0.18,-0.18,9.03,-24,0,34,1,
0.01,-0.02,1.01,0.24,0.12,10.31,-22,2,33,1,
0.01,-0.03,1.01,0.18,0.24,9.22,-22,0,29,1,
0.01,-0.03,1.01,0.06,0,7.81,-25,2,27,1,
0.01,-0.03,1.01,0.31,0,7.57,-22,1,34,1,
0.01,-0.03,1.01,0.24,-0.12,12.33,-21,2,29,1,
0.01,-0.03,1.01,0.18,-0.12,12.63,-22,2,29,1,
0.01,-0.03,1.01,0.24,0.12,3.11,-23,4,31,1,
0.01,-0.03,1.01,0.12,0,11.6,-22,5,28,1,
0.01,-0.03,1.01,0.31,-0.06,10.44,-20,4,30,1,
0.01,-0.03,1.01,0.31,0,8.97,-20,6,33,1,
0.01,-0.03,1.01,0.31,-0.06,10.93,-19,6,35,1,
0.01,-0.03,1.01,0.24,-0.06,10.19,-22,6,36,1,
0.01,-0.03,1.01,0.31,-0.06,8.54,-19,7,36,1,
0.01,-0.03,1.01,0.31,0,12.39,-20,8,31,1,
0.01,-0.03,1.01,0.24,0.12,7.39,-20,7,31,1,
0.01,-0.03,1.01,0.06,-0.06,7.75,-20,7,28,1,
0.01,-0.03,1.01,0.31,0,10.01,-19,6,31,1,
0.01,-0.03,1.01,0.12,0,13,-23,8,29,1,
0.01,-0.03,1.01,0.37,0.06,10.25,-17,10,31,1,
0.01,-0.03,1.01,0.06,0.06,8.79,-19,8,30,1,
0.01,-0.03,1.01,0.12,-0.06,11.35,-19,9,29,1,
0.01,-0.03,1.01,-0.67,-0.24,7.81,-18,12,32,1,
0.01,-0.03,1.01,0.18,-0.12,12.39,-19,12,28,1,
0.01,-0.03,1.01,0.61,0.12,11.41,-18,12,28,1,
0.01,-0.03,1.01,-0.49,-0.06,7.26,-19,13,33,1,
0.01,-0.03,1.01,-0.06,-0.06,4.64,-18,11,31,1,
0.01,-0.03,1.01,0.43,0.12,6.9,-18,13,30,1,
0.01,-0.03,1.01,0.79,0.06,8.48,-17,12,29,1,
0.01,-0.04,1.01,0.43,-0.06,12.27,-18,12,33,1,
